Date,Time,Temperature,Humidity,Luminosity
2021-10-3,18:00:00,22.7,33.5,very bright
2021-10-3,19:00:00,22.8,32.0,very bright
2021-10-3,20:00:00,22.8,33.5,very bright
2021-10-3,21:00:00,24.1,39.8,very bright
2021-10-3,22:00:00,24.9,42.1,very bright
2021-10-3,23:00:00,24.6,40.8,very bright
2021-10-4,0:00:00,24.1,40.4,pitch black
2021-10-4,1:00:00,24.0,39.7,pitch black
2021-10-4,2:00:00,24.1,39.1,pitch black
2021-10-4,3:00:00,24.1,38.8,pitch black
2021-10-4,4:00:00,24.1,38.2,pitch black
2021-10-4,5:00:00,24.2,38.4,pitch black
2021-10-4,6:00:00,24.2,38.1,pitch black
2021-10-4,7:00:00,23.1,33.9,pitch black
2021-10-4,8:00:00,22.9,33.5,pitch black
2021-10-4,9:00:00,23.1,33.3,very bright
2021-10-4,10:00:00,23.4,34.6,very bright
2021-10-4,11:00:00,23.7,33.0,very bright
2021-10-4,12:00:00,23.5,32.1,very bright
2021-10-4,13:00:00,23.2,35.4,very bright
2021-10-4,14:00:00,23.1,35.3,very bright
2021-10-4,15:00:00,22.8,34.7,very bright
2021-10-4,16:00:00,22.8,31.3,very bright
2021-10-4,17:00:00,22.6,30.5,very bright
2021-10-4,18:00:00,22.4,31.6,very bright
